StartTime,Flgs,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,TotPkts,TotBytes,State
09:38:29.297415, e        ,udp,10.32.92.230,48764, ->,70.0.0.1,domain,4,280,INT
09:38:30.409318, e *      ,tcp,10.32.92.230,58120, ->,69.42.215.170,ircd,10,712,RST
09:38:30.410859, e *      ,tcp,10.32.92.230,58121, ->,69.42.215.170,ircd,12,844,RST
09:38:31.938870, e        ,ip,127.0.0.10,, ->,108.122.0.0,,2,120,INT
09:38:31.938921, e        ,ip,127.0.0.202,, ->,108.122.0.0,,4,240,INT
09:38:31.938954, e        ,ip,127.0.0.111,, ->,108.122.0.0,,2,120,INT
09:38:31.938967, e        ,ip,127.0.0.173,, ->,108.122.0.0,,2,120,INT
09:38:31.939012, e        ,ip,127.0.0.8,, ->,108.122.0.0,,2,120,INT
09:38:31.939041, e        ,ip,127.0.0.72,, ->,108.122.0.0,,2,120,INT
09:38:31.939072, e        ,ip,127.0.0.219,, ->,108.122.0.0,,8,480,INT
09:38:31.939083, e        ,ip,127.0.0.51,, ->,108.122.0.0,,2,120,INT
09:38:31.939130, e        ,ip,127.0.0.11,, ->,108.122.0.0,,2,120,INT
09:38:31.939141, e        ,ip,127.0.0.105,, ->,108.122.0.0,,6,360,INT
09:38:31.939188, e        ,ip,127.0.0.123,, ->,108.122.0.0,,6,360,INT
09:38:31.939218, e        ,ip,127.0.0.136,, ->,108.122.0.0,,2,120,INT
09:38:31.939250, e        ,ip,127.0.0.154,, ->,108.122.0.0,,2,120,INT
09:38:31.939256, e        ,ip,127.0.0.88,, ->,108.122.0.0,,2,120,INT
09:38:31.939303, e        ,ip,127.0.0.189,, ->,108.122.0.0,,2,120,INT
09:38:31.939334, e        ,ip,127.0.0.161,, ->,108.122.0.0,,2,120,INT
09:38:31.939344, e        ,ip,127.0.0.156,, ->,108.122.0.0,,2,120,INT
09:38:31.939392, e        ,ip,127.0.0.208,, ->,108.122.0.0,,8,480,INT
09:38:31.939397, e        ,ip,127.0.0.205,, ->,108.122.0.0,,6,360,INT
09:38:31.939462, e        ,ip,127.0.0.250,, ->,108.122.0.0,,2,120,INT
09:38:31.939468, e        ,ip,127.0.0.141,, ->,108.122.0.0,,2,120,INT
09:38:31.939519, e        ,ip,127.0.0.5,, ->,108.122.0.0,,8,480,INT
09:38:31.939531, e        ,ip,127.0.0.31,, ->,108.122.0.0,,2,120,INT
09:38:31.939577, e        ,ip,127.0.0.67,, ->,108.122.0.0,,2,120,INT
09:38:31.939583, e        ,ip,127.0.0.37,, ->,108.122.0.0,,4,240,INT
09:38:31.939632, e        ,ip,127.0.0.86,, ->,108.122.0.0,,4,240,INT
09:38:31.939663, e        ,ip,127.0.0.251,, ->,108.122.0.0,,2,120,INT
09:38:31.939702, e        ,ip,127.0.0.172,, ->,108.122.0.0,,4,240,INT
09:38:31.939731, e        ,ip,127.0.0.129,, ->,108.122.0.0,,6,360,INT
09:38:31.939760, e        ,ip,127.0.0.188,, ->,108.122.0.0,,2,120,INT
09:38:31.939771, e        ,ip,127.0.0.95,, ->,108.122.0.0,,2,120,INT
09:38:31.939817, e        ,ip,127.0.0.244,, ->,108.122.0.0,,2,120,INT
09:38:31.939847, e        ,ip,127.0.0.25,, ->,108.122.0.0,,2,120,INT
09:38:31.939859, e        ,ip,127.0.0.6,, ->,108.122.0.0,,4,240,INT
09:38:31.939903, e        ,ip,127.0.0.65,, ->,108.122.0.0,,2,120,INT
09:38:31.939915, e        ,ip,127.0.0.56,, ->,108.122.0.0,,2,120,INT
09:38:31.939958, e        ,ip,127.0.0.169,, ->,108.122.0.0,,2,120,INT
09:38:31.939969, e        ,ip,127.0.0.103,, ->,108.122.0.0,,2,120,INT
09:38:31.940020, e        ,ip,127.0.0.248,, ->,108.122.0.0,,2,120,INT
09:38:31.940050, e        ,ip,127.0.0.152,, ->,108.122.0.0,,2,120,INT
09:38:31.940078, e        ,ip,127.0.0.89,, ->,108.122.0.0,,2,120,INT
09:38:31.940111, e        ,ip,127.0.0.1,, ->,108.122.0.0,,2,120,INT
09:38:31.940140, e        ,ip,127.0.0.183,, ->,108.122.0.0,,4,240,INT
09:38:31.940180, e        ,ip,127.0.0.64,, ->,108.122.0.0,,2,120,INT
09:38:31.940228, e        ,ip,127.0.0.139,, ->,108.122.0.0,,2,120,INT
09:38:31.940259, e        ,ip,127.0.0.143,, ->,108.122.0.0,,6,360,INT
09:38:31.940271, e        ,ip,127.0.0.107,, ->,108.122.0.0,,2,120,INT
09:38:31.940317, e        ,ip,127.0.0.34,, ->,108.122.0.0,,2,120,INT
09:38:31.940329, e        ,ip,127.0.0.221,, ->,108.122.0.0,,4,240,INT
09:38:31.940373, e        ,ip,127.0.0.100,, ->,108.122.0.0,,2,120,INT
09:38:31.940407, e        ,ip,127.0.0.52,, ->,108.122.0.0,,4,240,INT
09:38:31.940436, e        ,ip,127.0.0.20,, ->,108.122.0.0,,2,120,INT
09:38:31.940447, e        ,ip,127.0.0.195,, ->,108.122.0.0,,2,120,INT
09:38:31.940492, e        ,ip,127.0.0.17,, ->,108.122.0.0,,2,120,INT
09:38:31.940502, e        ,ip,127.0.0.74,, ->,108.122.0.0,,2,120,INT
09:38:31.940612, e        ,ip,127.0.0.198,, ->,108.122.0.0,,2,120,INT
09:38:31.940674, e        ,ip,127.0.0.13,, ->,108.122.0.0,,2,120,INT
09:38:31.940684, e        ,ip,127.0.0.90,, ->,108.122.0.0,,2,120,INT
09:38:31.940731, e        ,ip,127.0.0.131,, ->,108.122.0.0,,2,120,INT
09:38:31.940787, e        ,ip,127.0.0.124,, ->,108.122.0.0,,6,360,INT
09:38:31.940816, e        ,ip,127.0.0.212,, ->,108.122.0.0,,2,120,INT
09:38:31.940846, e        ,ip,127.0.0.227,, ->,108.122.0.0,,2,120,INT
09:38:31.940857, e        ,ip,127.0.0.71,, ->,108.122.0.0,,2,120,INT
09:38:31.940931, e        ,ip,127.0.0.42,, ->,108.122.0.0,,2,120,INT
09:38:31.940970, e        ,ip,127.0.0.220,, ->,108.122.0.0,,8,480,INT
09:38:31.940981, e        ,ip,127.0.0.102,, ->,108.122.0.0,,2,120,INT
09:38:31.941023, e        ,ip,127.0.0.243,, ->,108.122.0.0,,2,120,INT
09:38:31.941064, e        ,ip,127.0.0.238,, ->,108.122.0.0,,2,120,INT
09:38:31.941105, e        ,ip,127.0.0.40,, ->,108.122.0.0,,2,120,INT
09:38:31.941162, e        ,ip,127.0.0.27,, ->,108.122.0.0,,2,120,INT
09:38:31.941220, e        ,ip,127.0.0.94,, ->,108.122.0.0,,2,120,INT
09:38:31.941231, e        ,ip,127.0.0.93,, ->,108.122.0.0,,2,120,INT
09:38:31.941377, e        ,ip,127.0.0.180,, ->,108.122.0.0,,6,360,INT
09:38:31.941409, e        ,ip,127.0.0.87,, ->,108.122.0.0,,6,360,INT
09:38:31.941437, e        ,ip,127.0.0.229,, ->,108.122.0.0,,12,720,INT
09:38:31.941478, e        ,ip,127.0.0.97,, ->,108.122.0.0,,6,360,INT
09:38:31.941537, e        ,ip,127.0.0.63,, ->,108.122.0.0,,6,360,INT
09:38:31.941591, e        ,ip,127.0.0.181,, ->,108.122.0.0,,6,360,INT
09:38:31.941638, e        ,ip,127.0.0.158,, ->,108.122.0.0,,4,240,INT
09:38:31.941649, e        ,ip,127.0.0.3,, ->,108.122.0.0,,4,240,INT
09:38:31.941695, e        ,ip,127.0.0.225,, ->,108.122.0.0,,4,240,INT
09:38:31.941702, e        ,ip,127.0.0.126,, ->,108.122.0.0,,8,480,INT
09:38:31.941774, e        ,ip,127.0.0.234,, ->,108.122.0.0,,4,240,INT
09:38:31.941786, e        ,ip,127.0.0.125,, ->,108.122.0.0,,4,240,INT
09:38:31.941838, e        ,ip,127.0.0.39,, ->,108.122.0.0,,12,720,INT
09:38:31.941849, e        ,ip,127.0.0.231,, ->,108.122.0.0,,4,240,INT
09:38:31.941905, e        ,ip,127.0.0.196,, ->,108.122.0.0,,4,240,INT
09:38:31.941951, e        ,ip,127.0.0.121,, ->,108.122.0.0,,4,240,INT
09:38:31.941963, e        ,ip,127.0.0.209,, ->,108.122.0.0,,4,240,INT
09:38:31.942008, e        ,ip,127.0.0.168,, ->,108.122.0.0,,4,240,INT
09:38:31.942019, e        ,ip,127.0.0.122,, ->,108.122.0.0,,8,480,INT
09:38:31.942070, e        ,ip,127.0.0.241,, ->,108.122.0.0,,4,240,INT
09:38:31.942101, e        ,ip,127.0.0.162,, ->,108.122.0.0,,4,240,INT
09:38:31.942113, e        ,ip,127.0.0.133,, ->,108.122.0.0,,4,240,INT
09:38:31.942153, e        ,ip,127.0.0.60,, ->,108.122.0.0,,4,240,INT
09:38:31.942165, e        ,ip,127.0.0.91,, ->,108.122.0.0,,4,240,INT
09:38:31.942210, e        ,ip,127.0.0.135,, ->,108.122.0.0,,4,240,INT
09:38:31.942265, e        ,ip,127.0.0.254,, ->,108.122.0.0,,4,240,INT
09:38:31.942329, e        ,ip,127.0.0.222,, ->,108.122.0.0,,4,240,INT
09:38:31.942362, e        ,ip,127.0.0.48,, ->,108.122.0.0,,4,240,INT
09:38:31.942391, e        ,ip,127.0.0.36,, ->,108.122.0.0,,4,240,INT
09:38:31.942402, e        ,ip,127.0.0.83,, ->,108.122.0.0,,4,240,INT
09:38:31.942478, e        ,ip,127.0.0.68,, ->,108.122.0.0,,8,480,INT
09:38:31.942489, e        ,ip,127.0.0.203,, ->,108.122.0.0,,4,240,INT
09:38:31.942536, e        ,ip,127.0.0.130,, ->,108.122.0.0,,4,240,INT
09:38:31.942594, e        ,ip,127.0.0.182,, ->,108.122.0.0,,4,240,INT
09:38:31.942655, e        ,ip,127.0.0.92,, ->,108.122.0.0,,4,240,INT
09:38:31.942702, e        ,ip,127.0.0.235,, ->,108.122.0.0,,4,240,INT
09:38:31.942816, e        ,ip,127.0.0.14,, ->,108.122.0.0,,4,240,INT
09:38:31.942845, e        ,ip,127.0.0.233,, ->,108.122.0.0,,4,240,INT
